transactie_id,datum,ministerie,categorie,leverancier,begroot_bedrag,werkelijk_bedrag,betaalstatus,inkoopmethode,factuurnummer,omschrijving
TRX-000122,2026-12-16,Ministerie van Economische Zaken,Huisvesting,GovTech Nederland,1971.43,1710.67,Betaald,Enkelvoudig onderhands,INV-2026-000122,Onderhoud gebouw
TRX-001537,2026-12-05,Ministerie van Infrastructuur en Waterstaat,Personeel,Onderzoek & Advies BV,4477.39,4664.85,Betaald,Aanbesteding,INV-2026-001537,Tijdelijke ondersteuning
TRX-002442,2026-03-25,Ministerie van Sociale Zaken en Werkgelegenheid,Personeel,SecureIT Nederland,8075.18,8792.7,Openstaand,Enkelvoudig onderhands,INV-2026-002442,Opleiding en training
TRX-000972,2026-03-26,Ministerie van Sociale Zaken en Werkgelegenheid,Inkoop,Infra Solutions,3168.71,3223.5,Betaald,Aanbesteding,INV-2026-000972,Materiaalinkoop
TRX-002716,2026-05-08,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Huisvesting,SecureIT Nederland,2141.36,2014.17,Openstaand,Meervoudig onderhands,INV-2026-002716,Energievoorziening
TRX-006843,2026-03-14,Ministerie van Sociale Zaken en Werkgelegenheid,Personeel,Nationale Services,5391.25,5817.8,Betaald,Aanbesteding,INV-2026-006843,Tijdelijke ondersteuning
TRX-003524,2026-03-01,Ministerie van Sociale Zaken en Werkgelegenheid,ICT,DataSoft BV,4530.79,4204.51,Betaald,Aanbesteding,INV-2026-003524,Hardware en werkplekken
TRX-002395,2026-08-19,Ministerie van Economische Zaken,ICT,Onderzoek & Advies BV,7164.54,9532.82,Openstaand,Enkelvoudig onderhands,INV-2026-002395,Softwarelicenties
TRX-005230,2026-10-12,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Huisvesting,Delta Consulting,9490.23,9921.16,Betaald,Raamovereenkomst,INV-2026-005230,Energievoorziening
TRX-006983,2026-04-16,Ministerie van Infrastructuur en Waterstaat,ICT,Nationale Services,2537.47,2586.57,Betaald,Raamovereenkomst,INV-2026-006983,Cybersecuritydiensten
TRX-003327,2026-04-10,Ministerie van Economische Zaken,Advies,Nationale Services,1290.32,1630.31,Betaald,Raamovereenkomst,INV-2026-003327,Juridisch advies
TRX-006911,2026-09-19,Ministerie van Infrastructuur en Waterstaat,Personeel,SecureIT Nederland,4232.18,5233.82,Openstaand,Meervoudig onderhands,INV-2026-006911,Opleiding en training
TRX-006942,2026-10-20,Ministerie van Financiën,Advies,Nationale Services,6621.09,5364.84,Betaald,Meervoudig onderhands,INV-2026-006942,Strategisch advies
TRX-004356,2026-05-08,Ministerie van Sociale Zaken en Werkgelegenheid,Inkoop,Publieke Diensten BV,2096.4,2476.78,Openstaand,Aanbesteding,INV-2026-004356,Dienstverlening
TRX-006489,2026-04-26,Ministerie van Economische Zaken,ICT,DataSoft BV,12420.64,11324.75,Openstaand,Meervoudig onderhands,INV-2026-006489,Softwarelicenties
TRX-001718,2026-10-14,Ministerie van Infrastructuur en Waterstaat,Inkoop,Delta Consulting,1650.53,1974.6,Betaald,Aanbesteding,INV-2026-001718,Kantoorartikelen
TRX-005560,2026-10-30,Ministerie van Economische Zaken,Inkoop,Infra Solutions,6363.7,6158.31,Betaald,Enkelvoudig onderhands,INV-2026-005560,Algemene inkoop
TRX-004051,2026-12-02,Ministerie van Economische Zaken,Advies,Publieke Diensten BV,698.21,752.29,Betaald,Aanbesteding,INV-2026-004051,Juridisch advies
TRX-003940,2026-09-15,Ministerie van Infrastructuur en Waterstaat,Personeel,Infra Solutions,5935.22,6223.71,Betaald,Raamovereenkomst,INV-2026-003940,Personeelsadvies
TRX-002650,2026-02-25,Ministerie van Sociale Zaken en Werkgelegenheid,Inkoop,Delta Consulting,5405,6645.32,Betaald,Meervoudig onderhands,INV-2026-002650,Materiaalinkoop
TRX-003916,2026-01-10,Ministerie van Financiën,Personeel,Nationale Services,2510.67,3259.24,Betaald,Raamovereenkomst,INV-2026-003916,Externe inhuur
TRX-000096,2026-03-13,Ministerie van Infrastructuur en Waterstaat,Onderzoek,Onderzoek & Advies BV,11148.71,14416.77,Betaald,Meervoudig onderhands,INV-2026-000096,Beleidsonderzoek
TRX-004681,2026-04-10,Ministerie van Sociale Zaken en Werkgelegenheid,Inkoop,GovTech Nederland,5928.92,5528.54,Betaald,Enkelvoudig onderhands,INV-2026-004681,Algemene inkoop
TRX-003947,2026-04-26,Ministerie van Financiën,ICT,SecureIT Nederland,3162.84,3034.84,Betaald,Aanbesteding,INV-2026-003947,Softwarelicenties
TRX-003844,2026-12-26,Ministerie van Sociale Zaken en Werkgelegenheid,Onderzoek,Insight Partners,8750.3,7726.54,Betaald,Enkelvoudig onderhands,INV-2026-003844,Dataonderzoek
TRX-003494,2026-10-26,Ministerie van Financien ,ICT,GovTech Nederland,2757,3028.11,Betaald,Aanbesteding,INV-2026-003494,Softwarelicenties
TRX-006364,2026-03-20,Ministerie van Financiën,Advies,Publieke Diensten BV,46068.47,40785.33,Betaald,Raamovereenkomst,INV-2026-006364,Strategisch advies
TRX-007418,2026-06-21,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,ICT,Insight Partners,816.11,856.18,Openstaand,Raamovereenkomst,INV-2026-007418,Applicatiebeheer
TRX-006171,2026-05-07,Ministerie van Infrastructuur en Waterstaat,Reizen,GovTech Nederland,6544.65,6434.8,Openstaand,Raamovereenkomst,INV-2026-006171,Hotelkosten
TRX-005878,2026-02-13,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Advies,SecureIT Nederland,1585.47,1700.36,Betaald,Enkelvoudig onderhands,INV-2026-005878,Strategisch advies
TRX-004801,2026-01-12,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Personeel,Infra Solutions,4047.8,4034.27,Betaald,Aanbesteding,INV-2026-004801,Tijdelijke ondersteuning
TRX-000323,2026-07-21,Ministerie van Financiën,Inkoop,GovTech Nederland,1317.45,1227.97,Betaald,Enkelvoudig onderhands,INV-2026-000323,Dienstverlening
TRX-007256,2026-02-19,Ministerie van Infrastructuur en Waterstaat,Personeel,CloudWorks BV,609.8,668.52,Betaald,Aanbesteding,INV-2026-007256,Tijdelijke ondersteuning
TRX-001994,2026-11-12,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Onderzoek,GovTech Nederland,4020.51,4144.25,Betaald,Raamovereenkomst,INV-2026-001994,Dataonderzoek
TRX-002567,2026-07-05,Ministerie van Financiën,Personeel,Nationale Services,3426.46,3511.45,Betaald,Aanbesteding,INV-2026-002567,Externe inhuur
TRX-003826,2026-03-26,Ministerie van Economische Zaken,ICT,SecureIT Nederland,1105.92,1134.88,Betaald,Meervoudig onderhands,INV-2026-003826,Softwarelicenties
TRX-007124,2026-10-09, MINISTERIE VAN FINANCIËN,Huisvesting,GovTech Nederland,7148.82,7322.17,Betaald,Aanbesteding,INV-2026-007124,Facilitaire diensten
TRX-005855,2026-03-20,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,ICT,Onderzoek & Advies BV,5084.29,4756.98,Betaald,Aanbesteding,INV-2026-005855,Hardware en werkplekken
TRX-006239,2026-12-24,Ministerie van Infrastructuur en Waterstaat,ICT,Publieke Diensten BV,1873.44,1930.63,Betaald,Raamovereenkomst,INV-2026-006239,Applicatiebeheer
TRX-003020,2026-07-15,Ministerie van Infrastructuur en Waterstaat,Personeel,SecureIT Nederland,14817.01,11643.53,Betaald,Raamovereenkomst,INV-2026-003020,Tijdelijke ondersteuning
TRX-005317,2026-08-03,Ministerie van Sociale Zaken en Werkgelegenheid,Inkoop,Nationale Services,785.65,973.9,Betaald,Meervoudig onderhands,INV-2026-005317,Materiaalinkoop
TRX-001442,2026-09-22,Ministerie van Sociale Zaken en Werkgelegenheid,Personeel,Infra Solutions,4063.06,4158.87,Betaald,Aanbesteding,INV-2026-001442,Personeelsadvies
TRX-005022,2026-04-29,Ministerie van Sociale Zaken en Werkgelegenheid,Huisvesting,DataSoft BV,2799.04,3615.29,Geannuleerd,Aanbesteding,INV-2026-005022,Kantoorhuur
TRX-002557,2026-08-02,Ministerie van Infrastructuur en Waterstaat,ICT,SecureIT Nederland,18105.72,18610.01,Betaald,Meervoudig onderhands,INV-2026-002557,Applicatiebeheer
TRX-002683,2026-10-31,Ministerie van Economische Zaken,Reizen,Onderzoek & Advies BV,4126.41,4167.66,Openstaand,Aanbesteding,INV-2026-002683,Internationale reis
TRX-000562,2026-02-06,Ministerie van Financiën,ICT,SecureIT Nederland,2447.47,2351.98,Betaald,Enkelvoudig onderhands,INV-2026-000562,Softwarelicenties
TRX-006389,2026-05-05,Ministerie van Infrastructuur en Waterstaat,Inkoop,Infra Solutions,7990.13,8536.39,Betaald,Aanbesteding,INV-2026-006389,Dienstverlening
TRX-006575,2026-07-15,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Advies,SecureIT Nederland,4577.6,4766.62,Betaald,Aanbesteding,INV-2026-006575,Organisatieadvies
TRX-004566,2026-02-06,Ministerie van Economische Zaken,ICT,Delta Consulting,238.52,279.89,Betaald,Aanbesteding,INV-2026-004566,Cloudhosting
TRX-003505,2026-04-23,Ministerie van Infrastructuur en Waterstaat,Reizen,DataSoft BV,7151.46,7643.14,Betaald,Aanbesteding,INV-2026-003505,Hotelkosten
TRX-005412,2026-07-09,Ministerie van Infrastructuur en Waterstaat,Reizen,Infra Solutions,4466.69,4853.3,Betaald,Meervoudig onderhands,INV-2026-005412,Treinkosten
TRX-000070,2026-04-28,Ministerie van Infrastructuur en Waterstaat,NA,Onderzoek & Advies BV,2187.63,1881.94,Betaald,Enkelvoudig onderhands,INV-2026-000070,Cybersecuritydiensten
TRX-002868,2026-04-18,Ministerie van Sociale Zaken en Werkgelegenheid,Advies,DataSoft BV,13894.54,12380.59,Betaald,Enkelvoudig onderhands,INV-2026-002868,Strategisch advies
TRX-006618,2026-05-06,Ministerie van Sociale Zaken en Werkgelegenheid,ICT,Onderzoek & Advies BV,1983.15,2362.95,Openstaand,Aanbesteding,INV-2026-006618,Softwarelicenties
TRX-004260,2026-07-08,Ministerie van Sociale Zaken en Werkgelegenheid,Advies,SecureIT Nederland,3722.2,4231.4,Betaald,Enkelvoudig onderhands,INV-2026-004260,Juridisch advies
TRX-003265,2026-06-04,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Personeel,GovTech Nederland,3041.67,2468.35,Betaald,Meervoudig onderhands,INV-2026-003265,Tijdelijke ondersteuning
TRX-006913,2026-02-11,Ministerie van Financiën,Onderzoek,Nationale Services,18049.88,17928.88,Betaald,Raamovereenkomst,INV-2026-006913,Beleidsonderzoek
TRX-002296,2026-02-22,Ministerie van Economische Zaken,Advies,CloudWorks BV,1827.26,1957.79,Betaald,Enkelvoudig onderhands,INV-2026-002296,Organisatieadvies
TRX-002822,2026-08-01,Ministerie van Economische Zaken,Advies,Nationale Services,3151.17,3319.51,Betaald,Enkelvoudig onderhands,INV-2026-002822,Strategisch advies
TRX-003935,2026-05-26,Ministerie van Infrastructuur en Waterstaat,Advies,Publieke Diensten BV,1645.45,1817.18,Betaald,Raamovereenkomst,INV-2026-003935,Juridisch advies
TRX-001175,2026-01-01,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Reizen,Insight Partners,7977.09,8869.47,Betaald,Aanbesteding,INV-2026-001175,Internationale reis
TRX-000174,2026-12-22,Ministerie van Financiën,ICT,DataSoft BV,20130.19,14721.95,Betaald,Aanbesteding,INV-2026-000174,Cybersecuritydiensten
TRX-005824,2026-03-20,Ministerie van Financiën,ICT,Publieke Diensten BV,32332.1,28749.57,Betaald,Enkelvoudig onderhands,INV-2026-005824,Cloudhosting
TRX-007420,2026-07-20,Ministerie van Financiën,Inkoop,Onderzoek & Advies BV,2054.15,1904.39,Betaald,Aanbesteding,INV-2026-007420,Materiaalinkoop
TRX-003810,2026-11-26,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Reizen,DataSoft BV,3849.55,3689.8,Openstaand,Meervoudig onderhands,INV-2026-003810,Treinkosten
TRX-006131,2026-12-26,Ministerie van Sociale Zaken en Werkgelegenheid,ICT,Nationale Services,4690.93,4840.18,Betaald,Meervoudig onderhands,INV-2026-006131,Softwarelicenties
TRX-004387,2026-01-17,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,ICT,Publieke Diensten BV,1014.85,1114.73,Betaald,Enkelvoudig onderhands,INV-2026-004387,Cloudhosting
TRX-005151,2026-04-28,Ministerie van Economische Zaken,Advies,GovTech Nederland,12037.15,11745.13,Betaald,Raamovereenkomst,INV-2026-005151,Strategisch advies
TRX-006477,2026-08-03,Ministerie van Sociale Zaken en Werkgelegenheid,Huisvesting,Nationale Services,5955.85,6956.69,Betaald,Meervoudig onderhands,INV-2026-006477,Energievoorziening
TRX-004741,2026-05-02,Ministerie van Financiën,Reizen,SecureIT Nederland,7426.38,7827.98,Openstaand,Aanbesteding,INV-2026-004741,Internationale reis
TRX-001595,2026-05-06,Ministerie van Financiën,Advies,Delta Consulting,2597.64,2987.72,Openstaand,Raamovereenkomst,INV-2026-001595,Organisatieadvies
TRX-004029,2026-04-03,Ministerie van Financiën,Onderzoek,Insight Partners,17690.61,21170.16,Betaald,Aanbesteding,INV-2026-004029,Beleidsonderzoek
TRX-002568,2026-10-17,Ministerie van Financiën,Inkoop,Infra Solutions,8421.66,7540.08,Betaald,Enkelvoudig onderhands,INV-2026-002568,Kantoorartikelen
TRX-003628,2026-03-15,Ministerie van Sociale Zaken en Werkgelegenheid,Personeel,Delta Consulting,11451.28,12375.06,Betaald,Aanbesteding,INV-2026-006086,Tijdelijke ondersteuning
TRX-001767,2026-03-06,Ministerie van Sociale Zaken en Werkgelegenheid,Huisvesting,Infra Solutions,4063.34,3522.82,Betaald,Meervoudig onderhands,INV-2026-001767,Kantoorhuur
TRX-000666,2026-12-17,Ministerie van Infrastructuur en Waterstaat,Huisvesting,Insight Partners,14002.48,11981.85,Openstaand,Enkelvoudig onderhands,INV-2026-000666,Energievoorziening
TRX-005077,2026-12-04,Ministerie van Economische Zaken,Inkoop,Delta Consulting,2330.43,1418.76,Betaald,Enkelvoudig onderhands,INV-2026-005077,Kantoorartikelen
TRX-006204,2026-04-04,Ministerie van Sociale Zaken en Werkgelegenheid,ICT,Infra Solutions,2341.55,2113.2,Betaald,Aanbesteding,INV-2026-006204,Softwarelicenties
TRX-006079,2026-05-07,Ministerie van Financiën,NA,SecureIT Nederland,4769.46,4859.61,Openstaand,Meervoudig onderhands,INV-2026-006079,Algemene inkoop
TRX-000801,2026-06-16,Ministerie van Economische Zaken,Personeel,Insight Partners,4761.88,5477.19,Geannuleerd,Meervoudig onderhands,INV-2026-000801,Externe inhuur
TRX-003322,2026-06-27,Ministerie van Infrastructuur en Waterstaat,Reizen,Delta Consulting,2819.44,2504.46,Openstaand,Meervoudig onderhands,INV-2026-003322,Dienstreis
TRX-002861,2026-12-13,Ministerie van Sociale Zaken en Werkgelegenheid,Onderzoek,GovTech Nederland,1614.81,1839.49,Betaald,Raamovereenkomst,INV-2026-002861,Marktonderzoek
TRX-003000,2026-03-06,Ministerie van Financiën,Advies,GovTech Nederland,4496.18,5112.51,Betaald,Aanbesteding,INV-2026-003000,Organisatieadvies
TRX-006530,2026-01-08,Ministerie van Financiën,Onderzoek,Infra Solutions,27018.83,32513.96,Betaald,Enkelvoudig onderhands,INV-2026-006530,Beleidsonderzoek
TRX-004412,2026-09-20,Ministerie van Sociale Zaken en Werkgelegenheid,ICT,Infra Solutions,3948.44,4565.23,Betaald,Raamovereenkomst,INV-2026-004412,Cybersecuritydiensten
TRX-002892,2026-01-20,Ministerie van Infrastructuur en Waterstaat,Personeel,CloudWorks BV,20359.56,17594.12,Betaald,Aanbesteding,INV-2026-002892,Tijdelijke ondersteuning
TRX-005593,2026-10-25,Ministerie van Sociale Zaken en Werkgelegenheid,Huisvesting,CloudWorks BV,6907.75,7497.25,Openstaand,Raamovereenkomst,INV-2026-005593,Onderhoud gebouw
TRX-001947,2026-04-07,Ministerie van Sociale Zaken en Werkgelegenheid,Inkoop,Insight Partners,4176.65,5465.45,Openstaand,Aanbesteding,INV-2026-001947,Kantoorartikelen
TRX-006052,2026-08-21,Ministerie van Sociale Zaken en Werkgelegenheid,Advies,GovTech Nederland,3229.57,2975.93,Betaald,Meervoudig onderhands,INV-2026-006052,Organisatieadvies
TRX-006081,2026-04-09,Ministerie van Economische Zaken,Onderzoek,DataSoft BV,7621.51,6178.8,Betaald,Enkelvoudig onderhands,INV-2026-006081,Marktonderzoek
TRX-005586,2026-02-11,Ministerie van Infrastructuur en Waterstaat,Huisvesting,DataSoft BV,4256.83,4100.66,Betaald,Enkelvoudig onderhands,INV-2026-005586,Energievoorziening
TRX-005762,2026-12-13,Ministerie van Infrastructuur en Waterstaat,ICT,CloudWorks BV,3745.28,3526.05,Betaald,Meervoudig onderhands,INV-2026-005762,Applicatiebeheer
TRX-002974,2026-12-12,Ministerie van Infrastructuur en Waterstaat,ICT,SecureIT Nederland,6085.7,5340.82,Betaald,Meervoudig onderhands,INV-2026-002974,Hardware en werkplekken
TRX-005753,2026-11-03,Ministerie van Economische Zaken,ICT,Onderzoek & Advies BV,19652.59,15849.8,Betaald,Raamovereenkomst,INV-2026-005753,Cloudhosting
TRX-002008,2026-09-29,Ministerie van Financiën,ICT,CloudWorks BV,2767.35,2282.85,Betaald,Enkelvoudig onderhands,INV-2026-002008,Cybersecuritydiensten
TRX-000567,2026-11-11,Ministerie van Economische Zaken,Inkoop,Insight Partners,1116.78,1351.43,Openstaand,Enkelvoudig onderhands,INV-2026-000567,Materiaalinkoop
TRX-002792,2026-07-20,Ministerie van Financiën,Advies,Infra Solutions,17676.14,17455.01,Betaald,Enkelvoudig onderhands,INV-2026-002792,Organisatieadvies
TRX-005356,2026-06-05,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Onderzoek,Onderzoek & Advies BV,4572.93,4155,Betaald,Aanbesteding,INV-2026-005356,Beleidsonderzoek
TRX-003170,2026-01-13,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Advies,Onderzoek & Advies BV,7615.81,8733.64,Betaald,Meervoudig onderhands,INV-2026-003170,Juridisch advies
TRX-004540,2026-12-06,Ministerie van Sociale Zaken en Werkgelegenheid,Personeel,Publieke Diensten BV,9081.95,9269.48,Betaald,Raamovereenkomst,INV-2026-004540,Tijdelijke ondersteuning
TRX-002883,2026-03-02,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Personeel,Delta Consulting,20210.4,20730.56,Betaald,Meervoudig onderhands,INV-2026-002883,Tijdelijke ondersteuning
TRX-005062,2026-01-01,Ministerie van Sociale Zaken en Werkgelegenheid,Onderzoek,GovTech Nederland,2895.98,2310.9,Geannuleerd,Meervoudig onderhands,INV-2026-005062,Evaluatieonderzoek
TRX-005320,2026-11-26,Ministerie van Sociale Zaken en Werkgelegenheid,Onderzoek,Publieke Diensten BV,11813.16,9725.09,Openstaand,Aanbesteding,INV-2026-005320,Dataonderzoek
TRX-004232,2026-06-08,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Huisvesting,Insight Partners,5925.23,6529.41,Betaald,Aanbesteding,INV-2026-004232,Onderhoud gebouw
TRX-000939,2026-12-19,Ministerie van Sociale Zaken en Werkgelegenheid,Onderzoek,SecureIT Nederland,5988.1,5490.33,Betaald,Aanbesteding,INV-2026-000939,Marktonderzoek
TRX-002985,2026-08-04,Ministerie van Infrastructuur en Waterstaat,Inkoop,Publieke Diensten BV,5881.62,5032.03,Betaald,Aanbesteding,INV-2026-002985,Algemene inkoop
TRX-001262,2026-07-18,Ministerie van Sociale Zaken en Werkgelegenheid,Huisvesting,CloudWorks BV,3011.4,3142.34,Betaald,Enkelvoudig onderhands,INV-2026-001262,Kantoorhuur
TRX-000568,2026-04-28,Ministerie van Infrastructuur en Waterstaat,Personeel,Insight Partners,1833.26,1972.4,Betaald,Aanbesteding,INV-2026-000568,Personeelsadvies
TRX-001352,2026-01-02,Ministerie van Economische Zaken,Advies,SecureIT Nederland,27027.8,28216.97,Openstaand,Raamovereenkomst,INV-2026-001352,Strategisch advies
TRX-002142,2026-06-04,Ministerie van Economische Zaken,Personeel,Publieke Diensten BV,4481.03,4689.85,Betaald,Aanbesteding,INV-2026-002142,Opleiding en training
TRX-001101,2026-11-24,Ministerie van Sociale Zaken en Werkgelegenheid,Advies,CloudWorks BV,1224.79,1388.1,Betaald,Aanbesteding,INV-2026-001101,Organisatieadvies
TRX-007458,2026-05-17,Ministerie van Economische Zaken,Huisvesting,Nationale Services,2552.77,3001.61,Betaald,Aanbesteding,INV-2026-007458,Onderhoud gebouw
TRX-004353,2026-06-02,Ministerie van Sociale Zaken en Werkgelegenheid,Personeel,GovTech Nederland,5293.84,4705.72,Betaald,Aanbesteding,INV-2026-004353,Externe inhuur
TRX-004184,2026-06-04,Ministerie van Financiën,Advies,Infra Solutions,971.42,1131.6,Betaald,Aanbesteding,INV-2026-004184,Juridisch advies
TRX-000184,2026-04-26,Ministerie van Financiën,ICT,Delta Consulting,4765.89,3954.11,Betaald,Meervoudig onderhands,INV-2026-000184,Cybersecuritydiensten
TRX-001569,2026-06-13,Ministerie van Sociale Zaken en Werkgelegenheid,ICT,Publieke Diensten BV,6104.38,7384.34,Betaald,Meervoudig onderhands,INV-2026-001569,Softwarelicenties
TRX-005847,2026-07-23,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Personeel,DataSoft BV,1362.01,1741.2,Betaald,Aanbesteding,INV-2026-005847,Tijdelijke ondersteuning
TRX-004222,2026-02-11,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Huisvesting,DataSoft BV,3242.81,2988.32,Betaald,Meervoudig onderhands,INV-2026-004222,Energievoorziening
TRX-001488,2026-11-28,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,ICT,Nationale Services,3650.32,3892.14,Betaald,Aanbesteding,INV-2026-001488,Cybersecuritydiensten
TRX-003037,2026-03-17,Ministerie van Sociale Zaken en Werkgelegenheid,Inkoop,DataSoft BV,451.66,502.55,Betaald,Enkelvoudig onderhands,INV-2026-003037,Dienstverlening
TRX-000985,2026-04-19,Ministerie van Sociale Zaken en Werkgelegenheid,Personeel,Onderzoek & Advies BV,3048.03,2645.11,Betaald,Aanbesteding,INV-2026-000985,Opleiding en training
TRX-003397,2026-06-05,Ministerie van Infrastructuur en Waterstaat,Personeel,Nationale Services,8414.82,7471.41,Betaald,Aanbesteding,INV-2026-003397,Personeelsadvies
TRX-001696,2026-09-10,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Advies,Infra Solutions,9205.72,6666.42,Betaald,Enkelvoudig onderhands,INV-2026-001696,Organisatieadvies
TRX-003975,2026-12-15,Ministerie van Infrastructuur en Waterstaat,ICT,Delta Consulting,15532.25,17836.87,Betaald,Meervoudig onderhands,INV-2026-003975,Cloudhosting
TRX-005581,2026-01-14,Ministerie van Infrastructuur en Waterstaat,ICT,Delta Consulting,1531.35,1525.89,Betaald,Raamovereenkomst,INV-2026-005581,Hardware en werkplekken
TRX-007487,2026-03-29,Ministerie van Financiën,Personeel,Delta Consulting,4090.81,5507.82,Betaald,Enkelvoudig onderhands,INV-2026-007487,Tijdelijke ondersteuning
TRX-005203,2026-04-03,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Huisvesting,SecureIT Nederland,1698.07,1612.27,Betaald,Raamovereenkomst,INV-2026-005203,Onderhoud gebouw
TRX-002830,2026-01-13,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Huisvesting,Delta Consulting,17075.91,21443.41,Openstaand,Meervoudig onderhands,INV-2026-002830,Energievoorziening
TRX-005445,2026-07-26,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Reizen,Onderzoek & Advies BV,10024.93,7685.53,Betaald,Meervoudig onderhands,INV-2026-005445,Dienstreis
TRX-000931,2026-10-28,Ministerie van Infrastructuur en Waterstaat,Huisvesting,GovTech Nederland,1201.05,1375.87,Openstaand,Meervoudig onderhands,INV-2026-000931,Kantoorhuur
TRX-002591,2026-07-06,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Onderzoek,CloudWorks BV,755.86,835.3,Betaald,Enkelvoudig onderhands,INV-2026-002591,Marktonderzoek
TRX-005483,2026-10-08,Ministerie van Infrastructuur en Waterstaat,Advies,CloudWorks BV,22383.84,21466.8,Openstaand,Meervoudig onderhands,INV-2026-005483,Organisatieadvies
TRX-003529,2026-04-13,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Personeel,GovTech Nederland,15176.15,16275.95,Betaald,Aanbesteding,INV-2026-003529,Tijdelijke ondersteuning
TRX-004999,2026-02-23,Ministerie van Financiën,ICT,Insight Partners,2885.04,2993.4,Betaald,Aanbesteding,INV-2026-004999,Softwarelicenties
TRX-005375,2026-03-06,Ministerie van Sociale Zaken en Werkgelegenheid,Advies,Delta Consulting,1533.37,1817.37,Betaald,Aanbesteding,INV-2026-005375,Procesadvies
TRX-000545,2026-07-26,Ministerie van Economische Zaken,Personeel,Onderzoek & Advies BV,1889.09,2248.84,Betaald,Meervoudig onderhands,INV-2026-000545,Personeelsadvies
TRX-004683,2026-12-01,Ministerie van Financiën,Reizen,Infra Solutions,5742.2,5217.32,Betaald,Aanbesteding,INV-2026-004683,Hotelkosten
TRX-006397,2026-10-20,Ministerie van Economische Zaken,Huisvesting,DataSoft BV,6233.53,6183.91,Openstaand,Aanbesteding,INV-2026-006397,Kantoorhuur
TRX-005604,2026-02-10,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Personeel,Publieke Diensten BV,1459.84,1394.43,Betaald,Aanbesteding,INV-2026-005604,Tijdelijke ondersteuning
TRX-006343,2026-11-20,Ministerie van Infrastructuur en Waterstaat,Inkoop,GovTech Nederland,1893.73,2019.78,Betaald,Meervoudig onderhands,INV-2026-006343,Algemene inkoop
TRX-004028,2026-02-22,Ministerie van Infrastructuur en Waterstaat,Personeel,CloudWorks BV,1086.92,911.63,Openstaand,Meervoudig onderhands,INV-2026-004028,Opleiding en training
TRX-002869,2026-09-14,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Huisvesting,DataSoft BV,12450.44,10658.31,Betaald,Aanbesteding,INV-2026-002869,Onderhoud gebouw
TRX-003293,2026-10-03,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Inkoop,Nationale Services,2514.53,2410.81,Openstaand,Raamovereenkomst,INV-2026-003293,Materiaalinkoop
TRX-001708,2026-04-13,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Inkoop,DataSoft BV,12041.97,12308.09,Betaald,Enkelvoudig onderhands,INV-2026-001708,Algemene inkoop
TRX-003486,2026-03-31,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Inkoop,Insight Partners,526.38,525.89,Betaald,Enkelvoudig onderhands,INV-2026-003486,Materiaalinkoop
TRX-002098,2026-03-24,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Personeel,GovTech Nederland,21170.03,18514.65,Betaald,Meervoudig onderhands,INV-2026-002098,Externe inhuur
TRX-001029,2026-06-10,Ministerie van Sociale Zaken en Werkgelegenheid,Personeel,Delta Consulting,3423.36,3712.51,Betaald,Aanbesteding,INV-2026-001029,Opleiding en training
TRX-007042,2026-12-01,Ministerie van Sociale Zaken en Werkgelegenheid,ICT,Delta Consulting,16325.4,15852.26,Betaald,Meervoudig onderhands,INV-2026-007042,Hardware en werkplekken
TRX-004902,2026-08-14,Ministerie van Economische Zaken,Personeel,Insight Partners,3976.31,4057.19,Betaald,Meervoudig onderhands,INV-2026-004902,Tijdelijke ondersteuning
